claim_id;Event_type;Period_EvCl;Period_StEv;Policy_agent_cat;Owner_type;FLAG_Owner_bl;Insurer_type;FLAG_Insurer_bl;Policy_KBM;Policy_KS;Policy_KT;Policy_KVS;FLAG_Policy_KO;FLAG_Policy_KP;FLAG_Policy_KPR;FLAG_Policy_type;VEH_age;VEH_aim_use;VEH_capacity_type;VEH_model;VEH_type_name;FLAG_bad_region;FLAG_dsago;FLAG_prolong;Owner_region;Sales_channel;Policy_loss_count;Damage_count;bad;Claim_type;FLAG_trial
7492/PVU/00033/17;ПВУ СП;36;10;0,065942232277051;Физическое Лицо;0;Физическое Лицо;0;0,55;1;1,5;1;0;1;0;0;5;Личные;6;MITSUBISHI OUTLANDER;Легковой;0;0;1;Тульская область;Фронт-офис;0;1;0;0;0
Z692/PVU/00023/17;ПВУ СП;1;85;0,079966033308623;Физическое Лицо;0;Физическое Лицо;0;1;1;1,3;1;0;1;0;0;8;Личные;5;TOYOTA COROLLA;Легковой;1;0;0;Волгоградская область;Агенты и РБ;0;1;0;2;0
6592/PVU/00049/17;ПВУ СП;19;63;0,12224486142271;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,6;1;0;1;0;0;2;Личные;4;RENAULT DUSTER;Легковой;0;0;0;Самарская область;Агенты и РБ;0;1;0;0;1
S092/PVU/00005/17;ПВУ СП;4;55;0,077737127599263;Физическое Лицо;0;Физическое Лицо;0;1,4;1;1,2;1;0;1;0;0;9;Личные;6;PORSCHE CAYENNE;Легковой;0;0;0;Орловская область;Фронт-офис;0;1;0;1;0
6692/PVU/00018/17;ПВУ СП;3;42;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;1;;Личные;6;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;0;0
W991/133/00001/17;Классика;14;28;0,034209976436046;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1;1;1;1;0;1;14;Личные;3;ГАЗ 3102;Легковой;0;0;0;Карачаево-Черкесская Республика;Собственные продажи;0;1;0;0;1
4502/PVU/00003/17;ПВУ СП;9;39;0;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;1;1;0;0;1;Личные;6;LAND ROVER RANGE ROVER EVOQUE;Легковой;0;0;0;Московская область;Агенты и РБ;0;1;0;0;0
7592/PVU/00060/17;ПВУ СП;47;0;0,057799500966196;Физическое Лицо;0;Физическое Лицо;0;1;1;1,5;1;1;1;0;0;0;Личные;4;VOLKSWAGEN POLO;Легковой;0;0;0;Ханты-Мансийский автономный округ - Югра;Автодилеры;0;1;0;0;1
0820/133/00042/17;Классика;42;0;0,1655571800561;Физическое Лицо;0;Физическое Лицо;0;0,5;1;2;1;0;1;0;0;8;Личные;5;SSANGYONG KYRON;Легковой;0;0;0;Москва;Агенты и РБ;0;1;1;0;0
7592/PVU/00047/17;ПВУ СП;22;11;0,093236475163422;Физическое Лицо;0;Физическое Лицо;0;0,95;1;2;1;0;1;0;0;5;Личные;6;TOYOTA SEQUOIA;Легковой;0;0;1;Тюменская область;Агенты и РБ;0;1;0;0;0
6692/PVU/00020/17;ПВУ СП;2;19;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,6;1;0;1;0;1;10;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;0;0
3692/PVU/00036/17;ПВУ СП;9;14;0,025859869200486;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,1;1;0;1;0;0;8;Личные;6;AUDI A8;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
6192/PVU/00041/17;ПВУ СП;13;4;0,065888205618669;Физическое Лицо;0;Физическое Лицо;0;0,95;0,5;2;1;0;1;0;1;1;Личные;3;ВАЗ GRANTA;Легковой;0;0;1;Пермская область;Фронт-офис;0;1;0;0;0
5641/PVU/00048/17;ПВУ СП;3;14;0,11309715974918;Физическое Лицо;0;Физическое Лицо;0;0,7;1;1,7;1;0;1;0;0;12;Личные;5;TOYOTA PREMIO;Легковой;0;0;1;Новосибирская область;Агенты и РБ;0;1;0;0;0
6192/133/00056/17;Классика;14;0;0,085133876048918;Физическое Лицо;0;Физическое Лицо;0;0,95;1;2;1;0;1;0;1;4;Личные;5;CHEVROLET CRUZE;Легковой;0;0;0;Пермская область;Автодилеры;0;1;0;0;0
7520/PVU/00002/17;ПВУ СП;14;0;0,067857556429321;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,1;1;0;1;0;0;8;Личные;5;TOYOTA COROLLA;Легковой;0;0;1;Ямало-Ненецкий автономный округ;Агенты и РБ;0;1;0;0;0
5492/PVU/00010/17;ПВУ СП;0;22;0,072064074467174;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1,8;1;1;1;0;0;0;Личные;5;NISSAN QASHQAI;Легковой;1;0;0;Нижегородская область;Агенты и РБ;0;1;0;0;0
4392/PVU/00143/17;ПВУ СП;1;7;0,068373085759956;Физическое Лицо;0;Физическое Лицо;0;0,65;1;1,8;1;0;1;0;0;5;Личные;5;FORD FOCUS;Легковой;0;0;0;Свердловская область;Агенты и РБ;0;1;0;0;0
8034/133/00018/17;Классика;205;304;0,097827363512009;Физическое Лицо;1;Физическое Лицо;1;0,95;1;0,8;1;0;1;0;0;0;Личные;5;VOLKSWAGEN TIGUAN;Легковой;1;0;0;Ростовская область;Фронт-офис;0;1;0;1;1
6592/PVU/00096/17;ПВУ СП;69;316;0,022405118042834;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,6;1;0;1;0;1;0;Личные;6;AUDI Q7;Легковой;0;0;0;Самарская область;Автодилеры;0;1;0;0;0
4392/133/00258/17;Классика;20;342;0,0343104672603;Юридическое Лицо;0;Юридическое Лицо;0;0,9;1;1,8;1;1;1;0;0;8;Прочие;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой более 16;0;0;1;Свердловская область;Агенты и РБ;0;1;0;1;1
9592/PVU/00026/17;ПВУ СП;12;362;0,03945641134544;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;1;4;Личные;3;LADA KALINA;Легковой;0;0;0;Республика Дагестан;Агенты и РБ;0;1;0;0;0
4392/PVU/00198/17;ПВУ СП;11;363;;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,8;1;0;1;0;0;8;Личные;3;TOYOTA AURIS;Легковой;0;0;0;Свердловская область;Агенты и РБ;0;1;0;0;0
9492/PVU/00023/17;ПВУ СП;5;357;0,082167780008365;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,3;1;1;1;0;0;4;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;1;Республика Карелия;Фронт-офис;0;1;0;0;0
4392/PVU/00176/17;ПВУ СП;2;351;0,060499115885734;Физическое Лицо;0;Физическое Лицо;0;0,6;1;1,8;1;1;1;0;0;6;Личные;4;MAZDA 3;Легковой;0;0;1;Свердловская область;Агенты и РБ;0;1;0;0;0
9592/133/00054/17;Классика;6;344;0,03945641134544;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;1;16;Личные;3;ВАЗ 21043;Легковой;0;0;0;Республика Дагестан;Агенты и РБ;1;2;0;2;0
0890/133/00269/17;Классика;33;345;0,095436304019513;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;1;1;0;0;2;Личные;6;MERCEDES-BENZ E 200;Легковой;0;0;0;Московская область;Агенты и РБ;0;2;0;0;0
6692/PVU/00035/17;ПВУ СП;22;318;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,9;1;0,6;1;0;1;0;0;15;Личные;5;MAZDA MPV;Легковой;0;0;1;Забайкальский край;Агенты и РБ;0;1;0;1;0
6692/133/00077/17;Классика;26;311;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;1;1;0;0;14;Личные;2;TOYOTA VITZ;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;1;0
6692/PVU/00036/17;ПВУ СП;31;303;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,9;1;0,6;1;0;1;0;0;25;Личные;5;TOYOTA IPSUM;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;1;0
7592/133/00181/17;Классика;11;316;0,083022474458588;Физическое Лицо;0;Физическое Лицо;0;0,95;1;2;1;0;1;0;0;1;Личные;4;LADA GRANTA;Легковой;0;0;0;Тюменская область;Фронт-офис;0;1;0;0;1
6692/PVU/00037/17;ПВУ СП;23;302;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;0;4;Личные;4;MITSUBISHI LANCER;Легковой;0;0;0;Забайкальский край;Агенты и РБ;1;1;0;1;0
7826/PVU/00011/17;ПВУ СП;12;305;0,059860810084308;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;9;Личные;6;AUDI A6;Легковой;0;0;0;Карачаево-Черкесская Республика;Фронт-офис;0;1;1;0;1
7592/PVU/00116/17;ПВУ СП;7;295;;Физическое Лицо;0;Физическое Лицо;0;0,9;0,7;2;1;0;1;0;1;9;Личные;4;AUDI A3;Легковой;0;0;0;Тюменская область;Агенты и РБ;0;1;0;0;1
0890/133/00298/17;Классика;2;296;0,065928175969084;Физическое Лицо;0;Юридическое Лицо;0;0,5;1;2;1;1;1;1;0;3;Личные;7;КАМАЗ 6511;Грузовой более 16;0;0;0;Москва;Агенты и РБ;0;2;0;0;0
4592/PVU/00013/17;ПВУ СП;18;314;0,091272368886758;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;1;1;0;0;2;Личные;4;FIAT DOBLO;Легковой;0;0;0;Московская область;Агенты и РБ;1;1;0;0;0
5641/133/00068/17;Классика;13;278;0,084498862081845;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,7;1;0;1;0;1;15;Личные;5;HONDA CIVIC;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;3;0;0;0
4792/PVU/00015/17;ПВУ СП;29;257;0,092875592947522;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1,7;0;1;0;0;11;Личные;6;MITSUBISHI PAJERO;Легковой;0;0;1;Удмуртская Республика;Фронт-офис;0;1;0;0;0
9791/133/00019/17;Классика;31;234;0,14583482789659;ПБОЮЛ;0;Юридическое Лицо;0;0,5;1;1;1;1;1;0;0;13;Личные;7;ГАЗ 322132;Автобус менее 16;1;0;0;Челябинская область;Собственные продажи;0;1;0;0;0
6692/PVU/00034/17;ПВУ СП;31;236;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,6;1;0;1;0;1;13;Личные;4;TOYOTA PROBOX;Легковой;0;0;0;Забайкальский край;Агенты и РБ;1;1;0;1;0
0345/133/00209/17;Классика;1;299;0,10732236070973;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1,1;1;1;1;0;0;0;Прочие;6;BMW X4;Легковой;0;0;0;Удмуртская Республика;Лизинг;0;1;0;0;0
4792/PVU/00030/17;ПВУ СП;13;239;0,092875592947522;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1;0;1;0;0;0;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Удмуртская Республика;Фронт-офис;0;1;0;0;0
7514/PVU/00031/17;ПВУ СП;3;253;0,14195625211406;Физическое Лицо;0;Физическое Лицо;0;1;1;2;1;1;1;0;0;2;Личные;6;TOYOTA CAMRY;Легковой;0;0;0;Ханты-Мансийский автономный округ - Югра;Агенты и РБ;0;1;0;0;0
0760/PVU/00078/17;ПВУ СП;12;249;0,059554347474389;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,7;1;0;1;0;0;3;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Московская область;Автодилеры;0;1;0;0;0
4102/133/00023/17;Классика;12;230;0,013280568687864;Юридическое Лицо;0;Юридическое Лицо;0;0,85;1;0,7;1;1;1;0;0;3;Личные;3;ВАЗ 21312;Легковой;1;0;1;Волгоградская область;Агенты и РБ;0;1;0;0;0
0804/PVU/00071/17;ПВУ СП;2;243;0,10430557795749;Физическое Лицо;0;Физическое Лицо;0;1;0,7;2;1;1;1;0;1;5;Личные;5;MAZDA 6;Легковой;0;0;0;Москва;Агенты и РБ;0;1;0;0;0
0345/133/00163/17;Классика;14;271;0,10732236070973;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1;1;1;1;0;0;0;Прочие;5;ГАЗ 2310;Легковой;1;0;0;Ставропольский край;Лизинг;0;1;0;0;0
4192/PVU/00010/17;ПВУ СП;0;222;0,060663096320184;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,3;1;0;1;0;0;5;Личные;5;KIA RIO;Легковой;1;0;0;Волгоградская область;Фронт-офис;0;1;0;0;0
5644/133/00078/17;Классика;53;171;0,085749761951961;Физическое Лицо;1;Физическое Лицо;1;1,55;1;1,7;1;0;1;0;1;13;Личные;5;HONDA AVANCIER;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
8023/133/00059/17;Классика;28;200;0,031025197355871;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,8;1;0;1;0;0;18;Личные;3;ВАЗ 2106;Легковой;1;0;0;Ростовская область;Агенты и РБ;0;1;0;1;1
4792/133/00047/17;Классика;83;131;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,5;1;1,6;1;1;1;0;0;5;Личные;5;KIA SPORTAGE;Легковой;0;0;1;Самарская область;Прочие;0;1;1;0;0
7292/PVU/00009/17;ПВУ СП;2;206;0,08389336446448;Физическое Лицо;0;Физическое Лицо;0;1;1;0,8;1;0;1;0;0;2;Личные;4;CITROEN C4;Легковой;0;0;0;Тверская область;Агенты и РБ;0;1;0;0;0
3692/PVU/00059/17;ПВУ СП;4;193;0,024282841576242;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;0;1;0;0;7;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ (CE);Грузовой менее 16;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
3792/PVU/00026/17;ПВУ СП;11;181;0,063602607279573;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,4;1;0;1;0;0;2;Личные;6;TOYOTA LAND CRUISER PRADO;Легковой;0;0;0;Астраханская область;Фронт-офис;0;1;0;0;0
4292/PVU/00021/17;ПВУ СП;22;143;0,11236312447092;Физическое Лицо;0;Физическое Лицо;0;1;1;0,8;1;1;1;0;0;9;Личные;6;LEXUS GS;Легковой;0;0;0;Воронежская область;Фронт-офис;0;1;0;1;1
4792/PVU/00031/17;ПВУ СП;17;141;0,092875592947522;Физическое Лицо;0;Физическое Лицо;0;1;0,7;1,1;1,6;0;1;0;0;8;Личные;3;FORD FOCUS;Легковой;1;0;0;Республика Татарстан (Татарстан);Фронт-офис;0;1;0;0;0
6192/PVU/00080/17;ПВУ СП;4;151;0,099295608849781;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;15;Личные;3;VOLKSWAGEN GOLF;Легковой;1;0;0;Ростовская область;Автодилеры;0;1;0;0;0
8034/PVU/00009/17;ПВУ СП;7;131;0,062253517442363;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;8;Личные;4;VOLKSWAGEN JETTA;Легковой;1;0;1;Ростовская область;Фронт-офис;0;1;0;0;0
7510/133/00008/17;Классика;13;102;0,083022474458588;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1;1;0;1;0;1;10;Личные;4;FORD FOCUS;Легковой;1;0;0;Челябинская область;Фронт-офис;0;1;0;0;0
9492/133/00013/17;Классика;44;54;0,082167780008365;Физическое Лицо;0;Физическое Лицо;0;1,4;1;1,3;1,8;0;1;0;1;2;Личные;3;LADA GRANTA;Легковой;0;0;1;Республика Карелия;Фронт-офис;0;1;0;0;1
8292/133/00109/17;Классика;2;102;0,060819498190484;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,9;1;0;1;0;0;5;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;0;1
5641/PVU/00075/17;ПВУ СП;30;73;0,11309715974918;Физическое Лицо;0;Физическое Лицо;0;0,7;0,7;1,7;1;0;1;0;1;8;Личные;6;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
Z692/133/02217/17;Классика;8;88;0,079966033308623;Физическое Лицо;0;Физическое Лицо;0;1;0,5;1;1;0;1;0;0;7;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;2;1
7592/PVU/00119/17;ПВУ СП;23;67;0,058728466855532;Физическое Лицо;0;Физическое Лицо;0;0,95;1;2;1;0;1;0;0;6;Личные;4;SSANGYONG KYRON;Легковой;0;0;0;Тюменская область;Агенты и РБ;0;1;0;0;0
9792/PVU/00053/17;ПВУ СП;19;61;0,05044238855619;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,8;1;0;1;0;1;8;Личные;3;CHEVROLET LACETTI;Легковой;1;0;0;Челябинская область;Агенты и РБ;0;1;0;2;0
4392/PVU/00202/17;ПВУ СП;31;39;0,064141756764368;Физическое Лицо;0;Физическое Лицо;0;0,7;1;1,8;1;0;1;0;0;5;Личные;6;MITSUBISHI PAJERO SPORT;Легковой;0;0;0;Свердловская область;Агенты и РБ;0;1;0;0;1
7514/133/00062/17;Классика;3;60;0,13547056103434;Юридическое Лицо;0;Юридическое Лицо;0;1;1;2;1;1;1;0;0;0;Личные;6;TOYOTA LAND CRUISER PRADO;Легковой;0;0;0;Ханты-Мансийский автономный округ - Югра;Автодилеры;0;2;0;0;0
5644/PVU/00081/17;ПВУ СП;3;51;0,20721521394374;Юридическое Лицо;0;Юридическое Лицо;0;0,95;1;1,2;1;1;1;0;0;3;Личные;4;MERCEDES-BENZ SPRINTER микрогрузовик;Легковой;0;0;1;Новосибирская область;Агенты и РБ;0;1;0;0;0
4392/PVU/00208/17;ПВУ СП;7;40;0,072320678732599;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1;1;0;1;0;0;3;Личные;5;OPEL ASTRA;Легковой;0;0;1;Свердловская область;Фронт-офис;0;1;0;0;0
8492/PVU/00057/17;ПВУ СП;0;54;0,089824909113153;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,8;1;0;1;0;0;8;Личные;6;NISSAN TEANA;Легковой;1;0;0;Республика Башкортостан;Агенты и РБ;0;1;0;0;0
5641/133/00070/17;Классика;24;10;0,084498862081845;Физическое Лицо;0;Физическое Лицо;0;0,95;0,7;1,7;1;0;1;0;1;18;Личные;6;NISSAN CEFIRO;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;2;1;0;1
8492/PVU/00065/17;ПВУ СП;9;27;0,089824909113153;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;0;1;0;1;11;Личные;6;INFINITI FX 35;Легковой;1;0;0;Республика Башкортостан;Агенты и РБ;0;1;0;2;0
8292/133/00124/17;Классика;90;348;;Физическое Лицо;0;Физическое Лицо;0;1;1;0,9;1;0;1;0;0;13;Личные;6;TOYOTA CROWN;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;0;0
9592/PVU/00033/17;ПВУ СП;49;357;0,03945641134544;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;0;12;Личные;3;ВАЗ 21093;Легковой;0;0;0;Республика Дагестан;Агенты и РБ;1;1;0;0;0
4392/PVU/00223/17;ПВУ СП;30;358;;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,8;1;0;1;0;0;1;Личные;4;VOLKSWAGEN POLO;Легковой;0;0;1;Свердловская область;Агенты и РБ;0;1;0;0;0
6192/PVU/00083/17;ПВУ СП;12;355;0,055473363218387;Физическое Лицо;0;Физическое Лицо;0;1;1;1,1;1;1;1;0;0;8;Личные;4;FORD FOCUS;Легковой;0;0;0;Пермская область;Агенты и РБ;0;1;0;0;0
7519/PVU/00002/17;ПВУ СП;1;362;0,061194735689969;Юридическое Лицо;0;Юридическое Лицо;0;1;1;2;1;1;1;0;0;4;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Ханты-Мансийский автономный округ - Югра;Собственные продажи;0;1;0;0;0
4932/PVU/00028/17;ПВУ СП;33;326;0,12020658523346;Физическое Лицо;1;Физическое Лицо;1;0,95;1;2;1;0;1;0;0;4;Личные;6;INFINITI FX 37;Легковой;1;0;1;Республика Татарстан (Татарстан);Агенты и РБ;0;1;0;0;0
R791/PVU/00001/17;ПВУ СП;3;356;;Юридическое Лицо;0;Юридическое Лицо;0;0,95;1;0,6;1;1;1;0;0;15;Прочие;6;MERCEDES-BENZ S 500;Легковой;0;0;1;Республика Ингушетия;Собственные продажи;1;1;0;0;0
5641/PVU/00080/17;ПВУ СП;21;324;0,11915094933231;Юридическое Лицо;0;Физическое Лицо;0;0,95;1;1,7;1;1;1;0;0;6;Прокат/Краткосрочная аренда;3;RENAULT SR;Легковой;0;0;1;Новосибирская область;Фронт-офис;0;1;0;0;0
0890/133/00277/17;Классика;7;314;0,061237869306014;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,7;1;1;1;0;0;6;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС АВТОБУСЫ (DE);Автобус менее 16;1;0;0;Волгоградская область;Агенты и РБ;0;1;1;2;1
7592/PVU/00147/17;ПВУ СП;6;327;0,083022474458588;Физическое Лицо;0;Физическое Лицо;1;0,95;1;1,1;1;0;1;0;0;6;Личные;3;CHEVROLET KLAN;Легковой;0;0;1;Тюменская область;Фронт-офис;0;1;0;0;1
6692/133/00091/17;Классика;14;282;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;0;13;Личные;3;TOYOTA PROBOX;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;1;0
0345/133/00234/17;Классика;1;283;0,10732236070973;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1,5;1;1;1;0;0;1;Прочие;4;MERCEDES-BENZ SPRINTER микроавтобус;Легковой;0;0;1;Ярославская область;Лизинг;0;2;0;0;0
6692/PVU/00043/17;ПВУ СП;13;277;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,7;1;0,6;1;0;1;0;0;13;Личные;4;TOYOTA ALLION;Легковой;0;0;1;Забайкальский край;Агенты и РБ;0;1;0;1;1
7519/PVU/00004/17;ПВУ СП;14;250;0,061194735689969;Юридическое Лицо;0;Юридическое Лицо;0;0,95;1;2;1;1;1;0;0;2;Личные;7;ПАЗ 4234;Автобус более 16;0;0;1;Ханты-Мансийский автономный округ - Югра;Собственные продажи;0;1;0;0;0
6592/PVU/00112/17;ПВУ СП;39;221;0,021575446555957;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,6;1;0;1;0;1;4;Личные;4;MAZDA 3;Легковой;0;0;1;Самарская область;Автодилеры;0;1;0;1;1
6692/PVU/00039/17;ПВУ СП;4;233;0,044729859074548;Физическое Лицо;0;Физическое Лицо;0;0,75;1;0,7;1;0;1;0;0;13;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Забайкальский край;Фронт-офис;0;1;0;0;0
8292/PVU/00100/17;ПВУ СП;20;217;0,05311671260303;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,9;1;1;1;0;0;13;Личные;4;TOYOTA COROLLA;Легковой;0;0;1;Сахалинская область;Агенты и РБ;0;1;0;0;0
2141/133/00166/17;Классика;7;232;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,8;1;1;1;0;0;9;Личные;3;ВАЗ 21074;Легковой;1;0;1;Ростовская область;Прочие;0;2;1;0;0
5649/133/00031/17;Классика;31;181;0,11915094933231;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;1;1;0;0;5;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой менее 16;0;0;0;Камчатский край;Фронт-офис;0;1;0;1;1
6691/PVU/00002/17;ПВУ СП;42;154;0,035393293919562;Юридическое Лицо;0;Юридическое Лицо;0;0,8;1;0,6;1;1;1;0;0;4;Личные;3;LADA SAMARA;Легковой;0;0;0;Забайкальский край;Собственные продажи;0;1;0;0;0
6592/PVU/00104/17;ПВУ СП;7;187;0,071083324648469;Физическое Лицо;0;Физическое Лицо;0;1;0,5;1,6;1;0;1;0;1;7;Личные;5;VOLKSWAGEN PASSAT;Легковой;0;0;0;Самарская область;Фронт-офис;0;1;0;0;0
7592/133/00218/17;Классика;6;193;0,063392940415649;Юридическое Лицо;0;Юридическое Лицо;0;0,9;1;2;1;1;1;1;0;2;Прочие;7;КАМАЗ 6520;Грузовой более 16;0;0;1;Тюменская область;Агенты и РБ;0;1;0;0;0
6692/PVU/00044/17;ПВУ СП;9;178;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;0;1;0;0;15;Личные;2;TOYOTA CAMRY;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;1;0
7906/133/00005/17;Классика;1;190;0,036935500355149;Физическое Лицо;0;Физическое Лицо;0;0,8;1;1,7;1,6;0;1;0;0;2;Личные;4;FORD FOCUS;Легковой;0;0;0;Московская область;Агенты и РБ;2;2;1;0;1
6692/PVU/00042/17;ПВУ СП;7;161;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,6;1;1;1;0;0;10;Личные;3;TOYOTA COROLLA;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;0;0
6592/133/00077/17;Классика;7;162;0,071083324648469;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1;1;1;0;0;9;Личные;6;SUBARU IMPREZA;Легковой;0;0;0;Самарская область;Фронт-офис;0;1;0;0;0
3692/PVU/00064/17;ПВУ СП;20;127;0,018331842735975;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;18;Личные;4;BMW 316;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;1;1
5644/PVU/00086/17;ПВУ СП;20;145;0,077111004098581;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,7;1;0;1;0;1;18;Личные;3;TOYOTA PRIUS;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
3692/PVU/00065/17;ПВУ СП;5;151;0,011636876408419;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;1;1;0;0;3;Личные;6;VOLKSWAGEN TOUAREG;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
9792/PVU/00034/17;ПВУ СП;7;146;0,067689543959942;Физическое Лицо;0;Физическое Лицо;0;0,55;1;1,8;1;0;1;0;1;21;Личные;3;TOYOTA COROLLA;Легковой;1;0;0;Челябинская область;Агенты и РБ;0;1;0;0;0
7292/133/00041/17;Классика;1;152;0,08389336446448;Физическое Лицо;0;Физическое Лицо;0;1;0,7;0,8;1,7;0;1;0;0;17;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Тверская область;Агенты и РБ;0;1;1;0;1
